STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry,GEO_ID,County_Name,race_proportion_vector,diversity_index,State_FIPS,similarity_to_national,similarity_to_state,FIPS
01,059,00161555,0500000US01059,01059,Franklin,Franklin County,AL,Alabama,06,1641845708,32639621,"POLYGON ((-88.16591 34.380926, -88.165634 34.383102, -88.156292 34.463214, -88.139988 34.581703, -87.529667 34.567081, -87.529722 34.304598, -87.634725 34.306997, -88.173632 34.321054, -88.16591 34.380926))",0500000US01059,"Franklin County, Alabama","[0.1949, 0.7343, 0.0355, 0.004, 0.0021, 0.0001, 0.0024, 0.0268]",0.5792,01,0.9821,0.9289,01059
06,057,01682927,0500000US06057,06057,Nevada,Nevada County,CA,California,06,2480587301,41531993,"POLYGON ((-121.27953 39.230537, -121.259182 39.256421, -121.266132 39.272717, -121.240146 39.283997, -121.220979 39.282573, -121.200146 39.302375, -121.206352 39.316469, -121.178977 39.33856, -121.156588 39.334149, -121.154766 39.348605, -121.127481 39.380237, -121.100942 39.381246, -121.084002 39.394624, -121.048146 39.394934, -121.041087 39.388244, -121.022085 39.391558, -121.020166 39.392939, -121.014221 39.396829, -121.010113 39.397747, -121.011622 39.401011, -121.014825 39.40229, -121.011783 39.405316, -121.007436 39.404648, -120.998091 39.411094, -120.99503 39.413143, -120.990999 39.41364, -120.988321 39.412215, -120.983629 39.412413, -120.980989 39.412917, -120.978883 39.412854, -120.979441 39.414363, -120.979944 39.415674, -120.979341 39.417542, -120.976838 39.417665, -120.972672 39.418449, -120.969049 39.417854, -120.961793 39.4167, -120.957237 39.415751, -120.954704 39.416873, -120.951407 39.418277, -120.947639 39.418499, -120.94413 39.419596, -120.940018 39.417889, -120.935478 39.417601, -120.931983 39.417125, -120.929732 39.419017, -120.92974 39.420675, -120.927467 39.420342, -120.924925 39.420414, -120.921332 39.421764, -120.917113 39.420382, -120.915366 39.42004, -120.913848 39.422081, -120.913428 39.423803, -120.912032 39.425301, -120.908522 39.425873, -120.90576 39.424571, -120.901617 39.424478, -120.896429 39.424137, -120.890905 39.425393, -120.888357 39.42704, -120.885015 39.428493, -120.882871 39.428878, -120.880437 39.42859, -120.87859 39.429728, -120.87885 39.430336, -120.878896 39.430648, -120.877187 39.430112, -120.876569 39.429565, -120.875531 39.430429, -120.873586 39.430623, -120.872029 39.429937, -120.869793 39.430076, -120.86974 39.430895, -120.867794 39.430909, -120.866604 39.430337, -120.864094 39.430539, -120.862675 39.432162, -120.859043 39.434082, -120.856144 39.434353, -120.854694 39.434335, -120.854679 39.435222, -120.853146 39.436113, -120.851238 39.435713, -120.847553 39.435798, -120.84531 39.435554, -120.843898 39.435036, -120.842769 39.43679, -120.837672 39.439804, -120.834949 39.439947, -120.833056 39.439736, -120.832759 39.438271, -120.831507 39.436991, -120.828928 39.4367, -120.827212 39.435717, -120.824679 39.43571, -120.823344 39.43691, -120.819971 39.436663, -120.818484 39.436419, -120.817828 39.437807, -120.817637 39.439133, -120.817156 39.440137, -120.814077 39.44026, -120.812172 39.437779, -120.811528 39.436371, -120.808077 39.437403, -120.805097 39.438647, -120.801805 39.437686, -120.798554 39.439494, -120.796327 39.441853, -120.793931 39.442118, -120.791497 39.44173, -120.787362 39.443912, -120.786622 39.446592, -120.784013 39.44793, -120.782067 39.446681, -120.778923 39.448328, -120.777421 39.450061, -120.774926 39.44995, -120.774735 39.449289, -120.773315 39.44932, -120.771193 39.449907, -120.766472 39.450838, -120.765029 39.452891, -120.761887 39.453777, -120.758575 39.452416, -120.756591 39.452418, -120.755536 39.454123, -120.754806 39.455438, -120.753463 39.457538, -120.751433 39.457652, -120.749542 39.458287, -120.749359 39.459522, -120.748229 39.459361, -120.746543 39.459143, -120.743781 39.460491, -120.741988 39.462726, -120.742355 39.464891, -120.74337 39.465936, -120.742645 39.467343, -120.740851 39.467578, -120.73857 39.469173, -120.736449 39.470123, -120.733504 39.469737, -120.731093 39.47065, -120.729361 39.47103, -120.725714 39.472756, -120.723341 39.475386, -120.720641 39.477882, -120.717611 39.479683, -120.715155 39.48118, -120.714338 39.483624, -120.715018 39.485475, -120.716315 39.487316, -120.716864 39.488322, -120.716368 39.489312, -120.715209 39.48929, -120.712523 39.489237, -120.710844 39.490681, -120.708693 39.492071, -120.70635 39.49344, -120.706091 39.496304, -120.703863 39.497994, -120.70246 39.500539, -120.699698 39.502615, -120.696974 39.503358, -120.6948 39.503684, -120.692533 39.505261, -120.690397 39.50557, -120.688009 39.506189, -120.686055 39.507828, -120.684624 39.510514, -120.682981 39.510936, -120.682318 39.512725, -120.678792 39.514245, -120.677953 39.517034, -120.676031 39.51864, -120.673803 39.519879, -120.67127 39.520819, -120.668561 39.521139, -120.665357 39.522422, -120.663091 39.523408, -120.658857 39.524052, -120.657903 39.525564, -120.655842 39.526275, -120.655026 39.526844, -120.653684 39.526146, -120.653432 39.524983, -120.651646 39.523902, -120.648526 39.523681, -120.644803 39.523899, -120.642697 39.523284, -120.640239 39.523275, -120.636638 39.524476, -120.63293 39.52364, -120.63171 39.524308, -120.629639 39.524523, -120.628772 39.523618, -120.627239 39.521253, -120.626239 39.520093, -120.623881 39.520167, -120.622925 39.5213, -120.618045 39.521637, -120.613314 39.520779, -120.608638 39.52166, -120.603511 39.521577, -120.599894 39.522052, -120.597953 39.521258, -120.596184 39.520992, -120.595085 39.521869, -120.592807 39.522134, -120.590645 39.522749, -120.588239 39.523491, -120.586 39.522972, -120.584604 39.5221, -120.582979 39.522355, -120.581483 39.522909, -120.57937 39.522964, -120.576525 39.522599, -120.575454 39.522308, -120.575166 39.521899, -120.57551 39.522028, -120.575853 39.521661, -120.575724 39.521388, -120.572816 39.520323, -120.570535 39.518798, -120.56775 39.515749, -120.562234 39.51612, -120.559449 39.515426, -120.557066 39.514151, -120.55602 39.511926, -120.55637 39.507407, -120.551228 39.504042, -120.55096 39.499675, -120.549491 39.495553, -120.544453 39.491912, -120.539885 39.488257, -120.536378 39.484557, -120.534565 39.481399, -120.534737 39.477851, -120.534278 39.475186, -120.53479 39.471293, -120.535033 39.467834, -120.534285 39.465358, -120.533591 39.463767, -120.531401 39.462423, -120.530295 39.461832, -120.528403 39.460576, -120.526106 39.459815, -120.52429 39.458713, -120.523145 39.459139, -120.521796 39.458349, -120.522017 39.457705, -120.520773 39.457008, -120.519796 39.457239, -120.51895 39.457248, -120.518172 39.456047, -120.515691 39.455075, -120.513266 39.454865, -120.510564 39.455276, -120.508626 39.453613, -120.507619 39.451988, -120.506483 39.449166, -120.505933 39.447542, -120.49551 39.446143, -120.480197 39.44619, -120.447437 39.446249, -120.413916 39.446117, -120.382763 39.446146, -120.312284 39.446162, -120.251033 39.446153, -120.200023 39.445547, -120.157239 39.445303, -120.121257 39.445233, -120.096007 39.445098, -120.070641 39.445122, -120.035202 39.445119, -120.009353 39.445113, -120.003117296548 39.4450437274505, -120.00443 39.374908, -120.00471 39.330488, -120.005315576074 39.3164525335553, -120.010253 39.316328, -120.036657 39.316334, -120.322378 39.316427, -120.5546 39.315596, -120.5678 39.315559, -120.614829 39.315434, -120.640752 39.315193, -120.656425 39.308122, -120.660149 39.308647, -120.661426 39.309581, -120.663674 39.309921, -120.665749 39.309719, -120.667527 39.308754, -120.669045 39.308124, -120.670396 39.30843, -120.670456 39.309261, -120.671159 39.310314, -120.672593 39.309872, -120.675202 39.308204, -120.676839 39.307283, -120.679351 39.306316, -120.680983 39.306213, -120.683229 39.306388, -120.685876 39.30479, -120.689149 39.303859, -120.691499 39.303787, -120.692499 39.302467, -120.695329 39.301597, -120.698351 39.300621, -120.700473 39.299803, -120.70294 39.299383, -120.704629 39.296887, -120.708121 39.295308, -120.710079 39.292901, -120.715621 39.292165, -120.721295 39.290112, -120.726293 39.288611, -120.729434 39.286248, -120.733174 39.283734, -120.736221 39.281955, -120.737979 39.279762, -120.740493 39.278862, -120.743639 39.277291, -120.744904 39.275634, -120.747526 39.274569, -120.748957 39.271891, -120.750445 39.269431, -120.7527 39.268046, -120.75558 39.265715, -120.75735 39.264144, -120.760211 39.264102, -120.762752 39.263682, -120.764598 39.262286, -120.765476 39.260226, -120.766872 39.257952, -120.768503 39.256468, -120.772449 39.255228, -120.77563 39.254351, -120.777568 39.251788, -120.782115 39.249144, -120.785076 39.247866, -120.786128 39.245543, -120.788601 39.243578, -120.791157 39.241682, -120.794132 39.240484, -120.797253 39.239061, -120.799649 39.237379, -120.800716 39.235422, -120.803089 39.235113, -120.804623 39.233251, -120.807316 39.233232, -120.8102 39.232347, -120.812337 39.23073, -120.813649 39.229867, -120.816152 39.230074, -120.817777 39.229181, -120.819287 39.228284, -120.82031 39.227182, -120.822217 39.226117, -120.824788 39.225473, -120.826306 39.223859, -120.827604 39.223832, -120.828764 39.223031, -120.828184 39.222398, -120.827603 39.221711, -120.828962 39.221444, -120.830838 39.220617, -120.832135 39.219695, -120.837598 39.217354, -120.843474 39.213836, -120.846349 39.2137, -120.85005 39.212235, -120.852194 39.211266, -120.853544 39.209473, -120.854964 39.208531, -120.856741 39.20646, -120.857954 39.205319, -120.857298 39.204869, -120.856772 39.203797, -120.857694 39.201603, -120.857268 39.199719, -120.857827 39.197443, -120.860052 39.195653, -120.860632 39.192826, -120.862631 39.191098, -120.865118 39.190144, -120.866438 39.189831, -120.866713 39.188698, -120.865843 39.188588, -120.865988 39.187439, -120.867491 39.186764, -120.867704 39.185574, -120.869451 39.184891, -120.869094 39.183518, -120.868559 39.182728, -120.868849 39.180737, -120.870939 39.179535, -120.87374 39.179829, -120.878531 39.178559, -120.881019 39.178871, -120.885215 39.178295, -120.889052 39.176624, -120.892181 39.175705, -120.893971 39.175484, -120.89552 39.17631, -120.898101 39.175873, -120.899955 39.174427, -120.903473 39.173122, -120.905586 39.171223, -120.90758 39.170632, -120.908646 39.168485, -120.906814 39.16766, -120.910475 39.163915, -120.915371 39.163019, -120.923192 39.161158, -120.927548 39.155222, -120.935684 39.151948, -120.940527 39.145267, -120.949282 39.138427, -120.953326 39.135379, -120.96026 39.130338, -120.965357 39.128435, -120.967093 39.125974, -120.96873 39.12158, -120.973902 39.118824, -120.975571 39.114427, -120.977811 39.111835, -120.981188 39.110346, -120.985795 39.110915, -120.987434 39.111324, -120.989066 39.111578, -120.98969 39.110354, -120.988664 39.108748, -120.987754 39.107103, -120.986793 39.103649, -120.987905 39.100975, -120.986909 39.098164, -120.987618 39.093858, -120.988706 39.086846, -120.990789 39.082545, -120.993937 39.081451, -120.995845 39.079643, -120.994047 39.077991, -120.99215 39.075406, -120.994654 39.073962, -120.998136 39.070668, -120.998415 39.068127, -121.000437 39.067899, -121.00326 39.06648, -121.00465 39.061915, -121.006842 39.058861, -121.008348 39.054098, -121.010804 39.051856, -121.012909 39.050236, -121.016466 39.047321, -121.021305 39.041456, -121.027539 39.038685, -121.030098 39.036485, -121.029897 39.031239, -121.037617 39.019633, -121.043335 39.013469, -121.051604 39.011092, -121.059339 39.009993, -121.063188 39.008958, -121.066689 39.005903, -121.071404 39.005378, -121.075452 39.006083, -121.080683 39.007387, -121.083001 39.010364, -121.088094 39.013326, -121.092107 39.012651, -121.094051 39.011874, -121.096439 39.012425, -121.09729 39.013276, -121.099665 39.012484, -121.102158 39.011764, -121.105992 39.013784, -121.108274 39.017985, -121.116121 39.019157, -121.121477 39.024175, -121.123815 39.028148, -121.125819 39.028997, -121.126432 39.030878, -121.125842 39.031305, -121.128359 39.033051, -121.132125 39.034239, -121.135031 39.036564, -121.140907 39.036309, -121.144834 39.033661, -121.150786 39.030947, -121.152486 39.026788, -121.158166 39.024888, -121.163135 39.023194, -121.16741 39.021271, -121.173301 39.018417, -121.176413 39.019471, -121.180319 39.018909, -121.182471 39.016579, -121.184669 39.014666, -121.189784 39.013574, -121.192654 39.015631, -121.197962 39.016803, -121.20223 39.016282, -121.205356 39.013859, -121.207656 39.012129, -121.214993 39.012784, -121.219082 39.012124, -121.223371 39.014582, -121.227034 39.019662, -121.231259 39.023811, -121.234597 39.024421, -121.238134 39.0239, -121.239856 39.022167, -121.24492 39.023943, -121.248296 39.027712, -121.256361 39.027953, -121.258352 39.029475, -121.261668 39.029301, -121.26497 39.030324, -121.267532 39.031709, -121.270285 39.032083, -121.272622 39.033765, -121.278336 39.034471, -121.279533 39.034618, -121.27953 39.230537))",0500000US06057,"Nevada County, California","[0.1019, 0.8099, 0.0041, 0.0068, 0.0134, 0.0012, 0.006, 0.0567]",0.6698,06,0.9592,0.723,06057
26,031,01622958,0500000US26031,26031,Cheboygan,Cheboygan County,MI,Michigan,06,1852564001,440607445,"POLYGON ((-84.732687 45.289382, -84.7323927268157 45.7879288720768, -84.726192 45.786905, -84.718904 45.777599, -84.715996 45.766174, -84.681967 45.756197, -84.679546 45.749095, -84.644822 45.73999, -84.604712 45.721668, -84.573631 45.710381, -84.555496 45.702268, -84.553311 45.698566, -84.538998 45.690383, -84.46168 45.652404, -84.442348 45.654771, -84.435415 45.664106, -84.427495 45.669201, -84.413642 45.669427, -84.400283 45.663345, -84.376403 45.655565, -84.329537 45.66438, -84.289685 45.653296, -84.270238 45.64479, -84.215268 45.634767, -84.2042177111417 45.6271160041616, -84.21072 45.626232, -84.25202 45.625998, -84.246613 45.282073, -84.246634 45.198727, -84.366614 45.198737, -84.734303 45.201936, -84.732687 45.289382))",0500000US26031,"Cheboygan County, Michigan","[0.0133, 0.8942, 0.0035, 0.0269, 0.0033, 0.0, 0.0025, 0.0563]",0.8037,26,0.9303,0.981,26031
29,119,00758518,0500000US29119,29119,McDonald,McDonald County,MO,Missouri,06,1397155452,520251,"POLYGON ((-94.618307 36.76656, -94.068898 36.747818, -94.067651 36.738374, -94.077089 36.49873, -94.098588 36.498676, -94.100252 36.49867, -94.110673 36.498587, -94.111473 36.498597, -94.361203 36.4996, -94.519478 36.499214, -94.55929 36.499496, -94.617919 36.499414, -94.617877 36.514999, -94.617883 36.517799, -94.617997 36.53428, -94.617868 36.53609, -94.617897 36.536983, -94.617814 36.577732, -94.617853 36.59912, -94.617865 36.606851, -94.617815 36.612604, -94.6180194242896 36.6679212127705, -94.618025 36.66943, -94.61813 36.701423, -94.618307 36.76656))",0500000US29119,"McDonald County, Missouri","[0.1209, 0.7152, 0.0181, 0.0212, 0.0161, 0.0372, 0.0035, 0.0677]",0.5331,29,0.969,0.9855,29119
31,157,00835900,0500000US31157,31157,Scotts Bluff,Scotts Bluff County,NE,Nebraska,06,1915576079,15402683,"POLYGON ((-104.052931 41.906143, -104.052991 41.914973, -104.052734 41.973007, -104.052856 41.975958, -104.05283 41.9946, -104.052761 41.994967, -104.052699 41.998673, -104.052704275541 42.0017758975196, -103.401522 42.003537, -103.363337 42.00293, -103.36262 41.743548, -103.370392 41.743473, -103.370391 41.69921, -104.052830062293 41.6978232238571, -104.052774 41.733401, -104.053026 41.885464, -104.052931 41.906143))",0500000US31157,"Scotts Bluff County, Nebraska","[0.2273, 0.7125, 0.0065, 0.0129, 0.0077, 0.0007, 0.0028, 0.0296]",0.5605,31,0.9788,0.9867,31157
37,011,01008536,0500000US37011,37011,Avery,Avery County,NC,North Carolina,06,640602137,445285,"POLYGON ((-82.080143 36.10572, -82.079743 36.10652, -82.067142 36.11202, -82.061342 36.113121, -82.056042 36.120721, -82.056042 36.123921, -82.054142 36.126821, -82.043941 36.125421, -82.037941 36.121122, -82.033141 36.120422, -82.02874 36.124322, -82.02634 36.129222, -82.02664 36.130222, -81.960101 36.228131, -81.938897 36.256067, -81.933019683861 36.2648426504234, -81.932994 36.264881, -81.9181112586581 36.2871132062802, -81.895357 36.272116, -81.897019 36.242943, -81.907742 36.238638, -81.909008 36.216392, -81.885383 36.189451, -81.857147 36.193675, -81.82923 36.168791, -81.810516 36.111511, -81.76114 36.090129, -81.758517 36.077164, -81.735673 36.067584, -81.807162 35.961955, -81.844536 35.974976, -81.870232 35.976365, -81.881386 35.992932, -81.899871 35.999909, -81.943188 35.96005, -81.962987 35.941783, -81.954602 35.926649, -81.981954 35.911361, -82.034104 35.942057, -82.058764 35.98716, -82.049298 36.007927, -82.039175 36.007774, -82.068685 36.06527, -82.080944957901 36.1057614805811, -82.080143 36.10572))",0500000US37011,"Avery County, North Carolina","[0.0554, 0.8732, 0.0364, 0.0033, 0.0031, 0.0001, 0.0025, 0.0259]",0.7676,37,0.9496,0.9547,37011
46,039,01265781,0500000US46039,46039,Deuel,Deuel County,SD,South Dakota,06,1612885711,35935421,"POLYGON ((-96.88457 44.804436, -96.882345 44.97687, -96.4520920423924 44.9774935816171, -96.452092 44.977475, -96.452347 44.962734, -96.452047 44.910695, -96.451853 44.906672, -96.452009 44.89008, -96.4515595397173 44.8055694812453, -96.451559 44.805468, -96.451829 44.797691, -96.451888 44.792299, -96.451823 44.790471, -96.45162 44.776191, -96.45138 44.761788, -96.451573 44.76051, -96.451232 44.718375, -96.451543 44.703135, -96.4517605285233 44.6313495894722, -96.451761 44.631194, -96.45172 44.630708, -96.451888 44.544058, -96.4519902127759 44.5436387679114, -96.885504 44.543773, -96.88457 44.804436))",0500000US46039,"Deuel County, South Dakota","[0.0319, 0.9418, 0.0023, 0.0061, 0.0005, 0.0012, 0.0002, 0.0161]",0.8883,46,0.9341,0.994,46039
48,495,01384033,0500000US48495,48495,Winkler,Winkler County,TX,Texas,06,2178876165,19838,"POLYGON ((-103.326501 32.00037, -103.278521 32.000419, -103.270383 32.000326, -103.267708 32.000324, -103.267633 32.000475, -103.215641 32.000513, -103.088698 32.000453, -103.085876 32.000465, -103.064423 32.000518, -103.064344 32.087051, -102.812268 32.08713, -102.799086 32.085795, -102.798939 31.651783, -102.803806 31.651306, -103.327538 31.65142, -103.326501 32.00037))",0500000US48495,"Winkler County, Texas","[0.6074, 0.3468, 0.0178, 0.0049, 0.0099, 0.0, 0.0012, 0.0121]",0.4898,48,0.7374,0.9436,48495
54,061,01550037,0500000US54061,54061,Monongalia,Monongalia County,WV,West Virginia,06,932632921,14991505,"POLYGON ((-80.421388 39.721189, -80.309457 39.721264, -80.308651 39.721283, -80.075947 39.72135, -79.9161705658965 39.7208932213641, -79.853131 39.720713, -79.852904 39.720713, -79.763774 39.720776, -79.763773 39.696867, -79.78537 39.657287, -79.789277 39.623781, -79.89974 39.481945, -79.894688 39.435588, -79.938878 39.452465, -79.967959 39.462978, -79.99659 39.487202, -80.011252 39.487238, -80.015511 39.501538, -80.039146 39.507273, -80.04324 39.523009, -80.096316 39.562664, -80.110721 39.576844, -80.126216 39.579494, -80.153532 39.610426, -80.347654 39.61185, -80.3677 39.633563, -80.39581 39.637347, -80.395248 39.680506, -80.407408 39.717752, -80.421388 39.721189))",0500000US54061,"Monongalia County, West Virginia","[0.0313, 0.8406, 0.0384, 0.0014, 0.0352, 0.0006, 0.0036, 0.0488]",0.7127,54,0.9467,0.9993,54061
05,137,00069902,0500000US05137,05137,Stone,Stone County,AR,Arkansas,06,1570673294,8145444,"POLYGON ((-92.416846 35.788632, -92.414396 35.975798, -92.307215 35.974007, -92.305109 36.061087, -92.197449 36.059239, -92.19564 36.133009, -92.19056 36.106863, -92.18096 36.102198, -92.153501 36.115668, -92.140229 36.113664, -92.118631 36.070863, -92.105727 36.05998, -92.082409 36.058003, -92.057081 36.034359, -92.060595 36.025964, -92.093452 36.019083, -92.096842 35.999563, -92.084164 35.983559, -92.08558 35.965538, -92.110181 35.950807, -92.107592 35.930808, -92.093395 35.926162, -92.072749 35.928573, -92.047562 35.94355, -92.03006 35.939319, -92.026383 35.921074, -92.005374 35.91906, -91.985619 35.938081, -91.9638 35.938596, -91.93643 35.912054, -91.895953 35.882507, -91.859033 35.880538, -91.849456 35.867301, -91.849917 35.844255, -91.871023 35.809549, -91.863892 35.769051, -91.836121 35.748855, -91.837176 35.705019, -92.2408 35.712124, -92.418409 35.716028, -92.416846 35.788632))",0500000US05137,"Stone County, Arkansas","[0.0219, 0.9214, 0.0017, 0.007, 0.002, 0.0002, 0.0024, 0.0434]",0.8514,05,0.9323,0.9725,05137
