State_FIPS,Hispanic_Latino,White_alone,Black_alone,AIAN_alone,Asian_alone,NHPI_alone,Other_alone,Two_or_More,diversity_index,state_vector
01,0.0526,0.6312,0.2564,0.0046,0.0151,0.0005,0.0029,0.0367,0.4685,"[0.0526, 0.6312, 0.2564, 0.0046, 0.0151, 0.0005, 0.0029, 0.0367]"
02,0.0679,0.5751,0.0283,0.1484,0.0592,0.017,0.0062,0.0978,0.3716,"[0.0679, 0.5751, 0.0283, 0.1484, 0.0592, 0.017, 0.0062, 0.0978]"
04,0.3065,0.5337,0.0443,0.0369,0.0348,0.002,0.0044,0.0373,0.3847,"[0.3065, 0.5337, 0.0443, 0.0369, 0.0348, 0.002, 0.0044, 0.0373]"
05,0.0853,0.6852,0.1494,0.0068,0.017,0.0047,0.0027,0.0489,0.5019,"[0.0853, 0.6852, 0.1494, 0.0068, 0.017, 0.0047, 0.0027, 0.0489]"
06,0.394,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.3031,"[0.394, 0.3469, 0.0536, 0.0039, 0.1512, 0.0035, 0.0057, 0.0412]"
08,0.2188,0.6513,0.0383,0.0058,0.0338,0.0016,0.0051,0.0452,0.4768,"[0.2188, 0.6513, 0.0383, 0.0058, 0.0338, 0.0016, 0.0051, 0.0452]"
09,0.1729,0.6321,0.1001,0.0018,0.0473,0.0003,0.0075,0.0382,0.4432,"[0.1729, 0.6321, 0.1001, 0.0018, 0.0473, 0.0003, 0.0075, 0.0382]"
10,0.1053,0.5857,0.2151,0.0025,0.0428,0.0003,0.0046,0.0435,0.4042,"[0.1053, 0.5857, 0.2151, 0.0025, 0.0428, 0.0003, 0.0046, 0.0435]"
11,0.1126,0.3796,0.4091,0.0019,0.0481,0.0005,0.0054,0.0428,0.3283,"[0.1126, 0.3796, 0.4091, 0.0019, 0.0481, 0.0005, 0.0054, 0.0428]"
12,0.2645,0.5154,0.1452,0.002,0.0292,0.0005,0.0064,0.0368,0.3589,"[0.2645, 0.5154, 0.1452, 0.002, 0.0292, 0.0005, 0.0064, 0.0368]"
13,0.1049,0.5006,0.306,0.0019,0.0444,0.0006,0.0052,0.0364,0.3586,"[0.1049, 0.5006, 0.306, 0.0019, 0.0444, 0.0006, 0.0052, 0.0364]"
15,0.0955,0.216,0.015,0.0016,0.3653,0.1024,0.0036,0.2006,0.2402,"[0.0955, 0.216, 0.015, 0.0016, 0.3653, 0.1024, 0.0036, 0.2006]"
16,0.1302,0.7887,0.008,0.0103,0.0142,0.0018,0.0045,0.0423,0.6412,"[0.1302, 0.7887, 0.008, 0.0103, 0.0142, 0.0018, 0.0045, 0.0423]"
17,0.1824,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.3971,"[0.1824, 0.5832, 0.1386, 0.0013, 0.0583, 0.0002, 0.0035, 0.0324]"
18,0.0817,0.7547,0.0939,0.0019,0.0246,0.0004,0.0037,0.0391,0.5872,"[0.0817, 0.7547, 0.0939, 0.0019, 0.0246, 0.0004, 0.0037, 0.0391]"
19,0.0677,0.8269,0.0405,0.0028,0.0235,0.0018,0.0027,0.0341,0.6917,"[0.0677, 0.8269, 0.0405, 0.0028, 0.0235, 0.0018, 0.0027, 0.0341]"
20,0.1302,0.7225,0.0556,0.0075,0.029,0.0011,0.0034,0.0507,0.5455,"[0.1302, 0.7225, 0.0556, 0.0075, 0.029, 0.0011, 0.0034, 0.0507]"
21,0.0461,0.8133,0.0794,0.0018,0.0164,0.0008,0.0033,0.0389,0.6717,"[0.0461, 0.8133, 0.0794, 0.0018, 0.0164, 0.0008, 0.0033, 0.0389]"
22,0.0692,0.5575,0.3118,0.0056,0.0183,0.0004,0.0036,0.0335,0.4143,"[0.0692, 0.5575, 0.3118, 0.0056, 0.0183, 0.0004, 0.0036, 0.0335]"
23,0.0195,0.9016,0.0184,0.0054,0.0122,0.0003,0.0033,0.0393,0.8153,"[0.0195, 0.9016, 0.0184, 0.0054, 0.0122, 0.0003, 0.0033, 0.0393]"
