ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00683,72125,SAN GERMAN,PR,0.952974594,0.996613995,0.977578475,0.9561779
00683,72079,SAN GERMAN,PR,0.00094682,0,0,0.000870638
00683,72023,SAN GERMAN,PR,0.000789017,0.001128668,0,0.000798085
00683,72097,SAN GERMAN,PR,0.000157803,0,0,0.000145106
00683,72121,SAN GERMAN,PR,0.045131766,0.002257336,0.022421525,0.042008271
00923,72127,SAN JUAN,PR,1,1,1,1
01010,25013,BRIMFIELD,MA,0.977018268,1,1,0.977928693
01010,25027,BRIMFIELD,MA,0.022981732,0,0,0.022071307
01267,25003,WILLIAMSTOWN,MA,1,1,1,1
01331,25011,ATHOL,MA,0.001587554,0.00243309,0,0.001567845
01331,25027,ATHOL,MA,0.998412446,0.99756691,1,0.998432155
01257,25003,SHEFFIELD,MA,1,1,1,1
01375,25011,SUNDERLAND,MA,1,1,1,1
01339,25015,CHARLEMONT,MA,0.01097561,0,0,0.010588235
01339,25011,CHARLEMONT,MA,0.98902439,1,1,0.989411765
01469,25017,TOWNSEND,MA,1,1,1,1
02018,25023,ACCORD,MA,1,1,1,1
02128,25025,EAST BOSTON,MA,1,1,1,1
02120,25025,ROXBURY CROSSING,MA,1,1,1,1
02361,25023,PLYMOUTH,MA,1,1,1,1
02199,25025,BOSTON,MA,1,1,1,1
02664,25001,SOUTH YARMOUTH,MA,1,1,1,1
02648,25001,MARSTONS MILLS,MA,1,1,1,1
02668,25001,WEST BARNSTABLE,MA,1,1,1,1
02739,25023,MATTAPOISETT,MA,1,1,1,1
02895,44007,WOONSOCKET,RI,1,1,1,1
03241,33009,HEBRON,NH,1,1,1,1
03281,33011,WEARE,NH,0.999185447,1,1,0.999232933
03281,33013,WEARE,NH,0.000814553,0,0,0.000767067
03884,33017,STRAFFORD,NH,0.998846597,1,1,0.998871332
03884,33015,STRAFFORD,NH,0.001153403,0,0,0.001128668
03886,33003,TAMWORTH,NH,1,1,1,1
03743,33019,CLAREMONT,NH,1,1,1,1
03592,33007,PITTSBURG,NH,1,1,1,1
04548,23023,GEORGETOWN,ME,1,1,1,1
04357,23023,RICHMOND,ME,0.999426934,1,1,0.999478352
04357,23011,RICHMOND,ME,0.000573066,0,0,0.000521648
04424,23003,DANFORTH,ME,0.405701754,0.5,0,0.40552017
04424,23029,DANFORTH,ME,0.594298246,0.5,1,0.59447983
04773,23003,SAINT DAVID,ME,1,1,1,1
04649,23029,JONESPORT,ME,1,1,1,1
04562,23023,PHIPPSBURG,ME,1,1,1,1
04627,23009,DEER ISLE,ME,1,1,1,1
